CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida
0021205012,0068,04/03/2021 12:00:00 PM,20,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 01:00:00 PM,22.4,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 02:00:00 PM,20.7,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 03:00:00 PM,20.5,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 04:00:00 PM,19.9,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 05:00:00 PM,18,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 06:00:00 PM,16.1,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 07:00:00 PM,15.7,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 08:00:00 PM,15.5,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 09:00:00 PM,15.4,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 10:00:00 PM,15.4,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/03/2021 11:00:00 PM,15.3,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/04/2021 12:00:00 AM,15,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/04/2021 01:00:00 AM,15.1,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205012,0068,04/04/2021 02:00:00 AM,15.2,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
